Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,,Survey,N,Relevant
J,"Kreps, S; Prasad, S; Brownstein, JS; Hswen, Y; Garibaldi, BT; Zhang, BB; Kriner, DL",,,,"Kreps, Sarah; Prasad, Sandip; Brownstein, John S.; Hswen, Yulin; Garibaldi, Brian T.; Zhang, Baobao; Kriner, Douglas L.",,,Factors Associated With US Adults' Likelihood of Accepting COVID-19 Vaccination,JAMA NETWORK OPEN,,,,,,,,,,,,"Importance The development of a coronavirus disease 2019 (COVID-19) vaccine has progressed at unprecedented speed. Widespread public uptake of the vaccine is crucial to stem the pandemic. Objective To examine the factors associated with survey participants' self-reported likelihood of selecting and receiving a hypothetical COVID-19 vaccine. Design, Setting, and Participants A survey study of a nonprobability convenience sample of 2000 recruited participants including a choice-based conjoint analysis was conducted to estimate respondents' probability of choosing a vaccine and willingness to receive vaccination. Participants were asked to evaluate their willingness to receive each hypothetical vaccine individually. The survey presented respondents with 5 choice tasks. In each, participants evaluated 2 hypothetical COVID-19 vaccines and were asked whether they would choose vaccine A, vaccine B, or neither vaccine. Vaccine attributes included efficacy, protection duration, major adverse effects, minor adverse effects, US Food and Drug Administration (FDA) approval process, national origin of vaccine, and endorsement. Levels of each attribute for each vaccine were randomly assigned, and attribute order was randomized across participants. Survey data were collected on July 9, 2020. Main Outcomes and Measures Average marginal component effect sizes and marginal means were calculated to estimate the relationship between each vaccine attribute level and the probability of the respondent choosing a vaccine and self-reported willingness to receive vaccination. Results A total of 1971 US adults responded to the survey (median age, 43 [interquartile range, 30-58] years); 999 (51%) were women, 1432 (73%) White, 277 (14%) were Black, and 190 (10%) were Latinx. An increase in efficacy from 50% to 70% was associated with a higher probability of choosing a vaccine (coefficient, 0.07; 95% CI, 0.06-0.09), and an increase from 50% to 90% was associated with a higher probability of choosing a vaccine (coefficient, 0.16; 95% CI, 0.15-0.18). An increase in protection duration from 1 to 5 years was associated with a higher probability of choosing a vaccine (coefficient, 0.05 95% CI, 0.04-0.07). A decrease in the incidence of major adverse effects from 1 in 10000 to 1 in 1000000 was associated with a higher probability of choosing a vaccine (coefficient, 0.07; 95% CI, 0.05-0.08). An FDA emergency use authorization was associated with a lower probability of choosing a vaccine (coefficient, -0.03; 95% CI, -0.04 to -0.01) compared with full FDA approval. A vaccine that originated from a non-US country was associated with a lower probability of choosing a vaccine (China: -0.13 [95% CI, -0.15 to -0.11]; UK: -0.04 [95% CI, -0.06 to -0.02]). Endorsements from the US Centers for Disease Control and Prevention (coefficient, 0.09; 95% CI, 0.07-0.11) and the World Health Organization (coefficient, 0.06; 95% CI, 0.04-0.08), compared with an endorsement from President Trump were associated with higher probabilities of choosing a vaccine. Analyses of participants' willingness to receive each vaccine when assessed individually yielded similar results. An increase in efficacy from 50% to 90% was associated with a 10% higher marginal mean willingness to receive a vaccine (from 0.51 to 0.61). A reduction in the incidence of major side effects was associated with a 4% higher marginal mean willingness to receive a vaccine (from 0.54 to 0.58). A vaccine originating in China was associated with a 10% lower willingness to receive a vaccine vs one developed in the US (from 0.60 to 0.50) Endorsements from the Centers for Disease Control and Prevention and World Health Organization were associated with increases in willingness to receive a vaccine (7% and 6%, respectively) from a baseline endorsement by President Trump (from 0.52 to 0.59 and from 0.52 to 0.58, respectively). Conclusions and Relevance In this survey study of US adults, vaccine-related attributes and political characteristics were associated with self-reported preferences for choosing a hypothetical COVID-19 vaccine and self-reported willingness to receive vaccination. These results may help inform public health campaigns to address vaccine hesitancy when a COVID-19 vaccine becomes available. This survey study evaluates the factors associated with US adults' choice of and willingness to accept a hypothetical COVID-19 vaccine. Question What factors are associated with US adults' choice of and willingness to accept a hypothetical COVID-19 vaccine? Findings In this survey study of a national sample of 1971 US adults, vaccine-related attributes (eg, vaccine efficacy, adverse effects, and protection duration) and political factors (eg, US Food and Drug Administration approval process, national origin of vaccine, and endorsements) were associated with preferences for choosing a hypothetical COVID-19 vaccine. Health care attitudes and practices, political partisanship, and demographic characteristics, including age, sex, and race/ethnicity, were also associated with willingness to receive a vaccination. Meaning The results of this survey study may help inform public health campaigns to address vaccine hesitancy.",,,,,"Kriner, Douglas/0000-0002-9353-2334",,,,,,,,,,,,2574-3805,,,,,OCT 20,2020,3,10,,,,,,,e2025594,10.1001/jamanetworkopen.2020.25594,,,,,,,WOS:000586431300007,33079199,,,,,,Yes,500+,1
J,"Abdulah, DM",,,,"Abdulah, Deldar Morad",,,Prevalence and correlates of COVID-19 vaccine hesitancy in the general public in Iraqi Kurdistan: A cross-sectional study,JOURNAL OF MEDICAL VIROLOGY,,,,,,,,,,,,"Low vaccine acceptance is a major barrier to vaccination coverage in every health system. This study aimed to explore the prevalence and associated factors of the COVID-19 vaccine hesitancy in a sample of the general population in Iraqi Kurdistan. The general population with both genders with different educational levels and sociodemographic characteristics from the Duhok governorate was eligible to participate in this cross-sectional study in 2021. Therefore, an online Google form was sent to main pages and social groups through two main social media platforms. To obtain a representative sample of individuals with different educational levels, the author visited the main shopping center in Duhok city to collect the information from illiterate and low-level education individuals. The study found that 83.5% (n = 773) of the participants have not received and 51.4% (n = 476) did not intend to receive the COVID-19 vaccine. A small percentage has not decided to receive a COVID-19 vaccine yet (n = 17, 1.8%). The intention to receive a COVID-19 vaccine was increased with increasing level of education; 25.9%, 26.7%, 39.8%, and 53.6% in illiterate, under high school, high school, and college and higher, respectively (p < 0.0001). Healthcare workers were more likely to intend to receive a COVID-19, 57.5% vs 40.1%, p < 0.0001. Individuals who had concerns about the side effects of a COVID-19 vaccine were more likely to not receive and not intend to receive the COVID-19 vaccine. Prevalence of COVID-19 vaccine hesitancy was high in this region and was correlated with lower education and concerns about side effects.",,,,,,,,,,,,,,,,,0146-6615,1096-9071,,,,DEC,2021,93,12,,,,,6722,6731,,10.1002/jmv.27255,,AUG 2021,,,,,WOS:000683402600001,34347294,,,,,,yes,500+,1
J,"Male, V",,,,"Male, Victoria",,,Are COVID-19 vaccines safe in pregnancy?,NATURE REVIEWS IMMUNOLOGY,,,,,,,,,,,,"As the COVID-19 vaccination programme starts to be rolled out, many young women are hesitant to accept the vaccine, citing concerns about fertility. Meanwhile, those offered the vaccine during pregnancy must decide whether they will accept, even though pregnant people were excluded from the clinical trials. Data on accidental pregnancies that occurred during the trials and, increasingly, outcomes in pregnant people who receive the vaccine can help these groups to make informed decisions.",,,,,"Male, Victoria/0000-0001-5654-5083",,,,,,,,,,,,1474-1733,1474-1741,,,,APR,2021,21,4,,,,,200,201,,10.1038/s41577-021-00525-y,,MAR 2021,,,,,WOS:000625055700001,33658707,,,,,,,,
J,"Sturm, L; Kasting, ML; Head, KJ; Hartsock, JA; Zimet, GD",,,,"Sturm, Lynne; Kasting, Monica L.; Head, Katharine J.; Hartsock, Jane A.; Zimet, Gregory D.",,,Influenza vaccination in the time of COVID-19: A national US survey of adults,VACCINE,,,,,,,,,,,,"Introduction: Decisions about influenza vaccination for fall-winter 2020 were made against the backdrop of the COVID-19 pandemic. During May 2020, the authors examined intended vaccination in the next 12 months in relationship to demographic variables, healthcare attitudes, and personal COVID-19 experiences for two samples of adults-those who did not receive influenza vaccine during the prior 12 months, and those who did. Methods: In May 2020, a cross-sectional online survey was conducted with a national US sample. Participants reported prior influenza vaccination (yes/no during prior 12 months) and anticipated vaccination (yes/no during next 12 months). Covariates included demographic characteristics (e.g., gender, race-ethnicity, political ideology), general beliefs (e.g., benefits of vaccines, altruistic attitudes), and COVID-19 health beliefs and experiences (COVID-19 worry and severity, perception of COVID-19 as a community threat, knowing someone with COVID-19). For each group, hierarchical multivariable logistic regression was conducted with intent to vaccinate as the outcome. Results: Among participants (n = 3502), 47% did not receive influenza vaccine in the prior 12 months and 53% had; 25.5% of non-vaccinators and 91.9% of vaccinators intended future vaccination. For nonvaccinators, odds of intending vaccination was associated with race/ethnicity (Hispanics were more likely to intend than white-NH; AOR = 1.74; 95% CI = 1.23-2.4), greater perceived benefits of vaccination (AOR = 2.19; 95% CI = 1.88-2.54), and perception of COVID-19 as a community threat (AOR = 1.91; 95% CI = 1.49-2.45). For vaccinators, odds of intending vaccination was associated with age (AOR = 1.04; 95% CI = 1.03-1.05), race/ethnicity (Black-NH and Other-NH were less likely to intend than white-NH, AOR = 0.60; 95% CI = 0.36-0.999; and AOR = 0.45; 95% CI = 0.24-0.84, respectively), greater perceived benefits of vaccination (AOR = 1.88; 95% CI = 1.45-2.45) and greater perception of collective benefits of vaccines (AOR = 1.48; 95% CI = 1.15-1.90). Conclusions: The COVID-19 pandemic may have served as a cue to action for influenza vaccination intention among some prior non-vaccinators whereas intention among prior vaccinators is more related to positive attitudes toward vaccination. (C) 2021 Elsevier Ltd. All rights reserved.",,,,,"Head, Katharine/0000-0001-8946-1716; Kasting, Monica/0000-0002-9879-7235",,,,,,,,,,,,0264-410X,1873-2518,,,,APR 1,2021,39,14,,,,,1921,1928,,10.1016/j.vaccine.2021.03.003,,,,,,,WOS:000632984100007,33715898,,,,,,yes,500+,1
J,"Luevano, CD; Sicsic, J; Pellissier, G; Chyderiotis, S; Arwidson, P; Olivier, C; Gagneux-Brunon, A; Botelho-Nevers, E; Bouvet, E; Mueller, J",,,,"Diaz Luevano, Carolina; Sicsic, Jonathan; Pellissier, Gerard; Chyderiotis, Sandra; Arwidson, Pierre; Olivier, Cyril; Gagneux-Brunon, Amandine; Botelho-Nevers, Elisabeth; Bouvet, Elisabeth; Mueller, Judith",,,"Quantifying healthcare and welfare sector workers' preferences around COVID-19 vaccination: a cross-sectional, single-profile discrete-choice experiment in France",BMJ OPEN,,,,,,,,,,,,"Objectives To analyse preferences around promotion of COVID-19 vaccination among workers in the healthcare and welfare sector in Fance at the start of the vaccination campaign. Design Single-profile discrete-choice experiment. Respondents in three random blocks chose between accepting or rejecting eight hypothetical COVID-19 vaccination scenarios. Setting 4346 healthcare and welfare sector workers in France, recruited through nation-wide snowball sampling, December 2020 to January 2021. Outcome The primary outcomes were the effects of attributes' levels on hypothetical acceptance, expressed as ORs relative to the reference level. The secondary outcome was vaccine eagerness as certainty of decision, ranging from -10 to +10. Results Among all participants, 61.1% made uniform decisions, including 17.2% always refusing vaccination across all scenarios (serial non-demanders). Among 1691 respondents making variable decisions, a strong negative impact on acceptance was observed with 50% vaccine efficacy (compared with 90% efficacy: OR 0.05, 95% CI 0.04 to 0.06) and the mention of a positive benefit-risk balance (compared with absence of severe and frequent side effects: OR 0.40, 0.34 to 0.46). The highest positive impact was the prospect of safely meeting older people and contributing to epidemic control (compared with no indirect protection: OR 4.10, 3.49 to 4.82 and 2.87, 2.34 to 3.50, respectively). Predicted acceptance was 93.8% for optimised communication on messenger RNA vaccines and 16.0% for vector-based vaccines recommended to >= 55-year-old persons. Vaccine eagerness among serial non-demanders slightly but significantly increased with the prospect of safely meeting older people and epidemic control and reduced with lower vaccine efficacy. Discussion Vaccine promotion towards healthcare and welfare sector workers who hesitate or refuse vaccination should avoid the notion of benefit-risk balance, while collective benefit communication with personal utility can lever acceptance. Vaccines with limited efficacy will unlikely achieve high uptake.",,,,,,,,,,,,,,,,,2044-6055,,,,,OCT,2021,11,10,,,,,,,e055148,10.1136/bmjopen-2021-055148,,,,,,,WOS:000704086500010,34607874,,,,,,yes,500+,1
J,"Mishra, AR; Rani, P; Krishankumar, R; Ravichandran, KS; Kar, S",,,,"Mishra, Arunodaya Raj; Rani, Pratibha; Krishankumar, R.; Ravichandran, K. S.; Kar, Samarjit",,,An extended fuzzy decision-making framework using hesitant fuzzy sets for the drug selection to treat the mild symptoms of Coronavirus Disease 2019 (COVID-19),APPLIED SOFT COMPUTING,,,,,,,,,,,,"The whole world is presently under threat from Coronavirus Disease 2019 (COVID-19), a new disease spread by a virus of the corona family, called a novel coronavirus. To date, the cases due to this disease are increasing exponentially, but there is no vaccine of COVID-19 available commercially. However, several antiviral therapies are used to treat the mild symptoms of COVID-19 disease. Still, it is quite complicated and uncertain decision to choose the best antiviral therapy to treat the mild symptom of COVID-19. Hesitant Fuzzy Sets (HFSs) are proven effective and valuable structures to express uncertain information in real-world issues. Therefore, here we used the hesitant fuzzy decision-making (DM) method. This study has chosen five methods or medicines to treat the mild symptom of COVID-19. These alternatives have been ranked by seven criteria for choosing an optimal method. The purpose of this study is to develop an innovative Additive Ratio Assessment (ARAS) approach to elucidate the DM problems. Next, a divergence measure based procedure is developed to assess the relative importance of the criteria rationally. To do this, a novel divergence measure is introduced for HFSs. A case study of drug selection for COVID-19 disease is considered to demonstrate the practicability and efficacy of the developed idea in real-life applications. Afterward, the outcome shows that Remdesivir is the best medicine for patients with mild symptoms of the COVID-19. Sensitivity analysis is presented to ensure the permanence of the introduced framework. Moreover, a comprehensive comparison with existing models is discussed to show the advantages of the developed framework. Finally, the results prove that the introduced ARAS approach is more effective and reliable than the existing models. (C) 2021 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,1568-4946,1872-9681,,,,MAY,2021,103,,,,,,,,107155,10.1016/j.asoc.2021.107155,,,,,,,WOS:000635181400006,33568967,,,,,,,,
J,"Montastruc, JL; Biron, P; Sommet, A",,,,"Montastruc, Jean-Louis; Biron, Pierre; Sommet, Agnes",,,Efficacy of COVID-19 vaccines: Several modes of expression should be presented in scientific publications,FUNDAMENTAL & CLINICAL PHARMACOLOGY,,,,,,,,,,,,"Several vaccines are being developed as part of the COVID-19 pandemic. The results of clinical trials for these vaccines were published with efficacy values of more than 90%, using mainly relative risk (RR). In this paper, we decided to reanalyse the data using the different validated methods of risk expression. Using main publications, absolute risks (AR), AR reduction (ARR), number needed to treat (NNT) were calculated for five COVID-19 vaccines (tozinameran Comirnaty (R), Moderna, Vaxzevria (R), Janssen, and Sputnik V vaccines). AR, ARR, NNT, and RR values varied according to COVID-19 vaccines. The order of the different vaccines was not the same according to the chosen efficacy parameters. This is a further example of the need to express results of clinical trials, using not only RR, but also AR, ARR, and NNT in order to clearly present the clinical interest of drugs.",,,,,,,,,,,,,,,,,0767-3981,1472-8206,,,,,,,,,,,,,,,10.1111/fcp.12715,,JUL 2021,,,,,WOS:000678779200001,34250637,,,,,,,,
J,"Leng, AL; Maitland, E; Wang, SY; Nicholas, S; Liu, RG; Wang, J",,,,"Leng, Anli; Maitland, Elizabeth; Wang, Siyuan; Nicholas, Stephen; Liu, Rugang; Wang, Jian",,,Individual preferences for COVID-19 vaccination in China,VACCINE,,,,,,,,,,,,"Background: Vaccinations are an effective choice to stop disease outbreaks, including COVID-19. There is little research on individuals' COVID-19 vaccination decision-making. Objective: We aimed to determine individual preferences for COVID-19 vaccinations in China, and to assess the factors influencing vaccination decision-making to facilitate vaccination coverage. Methods: A D-efficient discrete choice experiment was conducted across six Chinese provinces selected by the stratified random sampling method. Vaccine choice sets were constructed using seven attributes: vaccine effectiveness, side-effects, accessibility, number of doses, vaccination sites, duration of vaccine protection, and proportion of acquaintances vaccinated. Conditional logit and latent class models were used to identify preferences. Results: Although all seven attributes were proved to significantly influence respondents' vaccination decision, vaccine effectiveness, side-effects and proportion of acquaintances vaccinated were the most important. We also found a higher probability of vaccinating when the vaccine was more effective; risks of serious side effects were small; vaccinations were free and voluntary; the fewer the number of doses; the longer the protection duration; and the higher the proportion of acquaintances vaccinated. Higher local vaccine coverage created altruistic herd incentives to vaccinate rather than free-rider problems. The predicted vaccination uptake of the optimal vaccination scenario in our study was 84.77%. Preference heterogeneity was substantial. Individuals who were older, had a lower education level, lower income, higher trust in the vaccine and higher perceived risk of infection, displayed a higher probability to vaccinate. Conclusions: Preference heterogeneity among individuals should lead health authorities to address the diversity of expectations about COVID-19 vaccinations. To maximize COVID-19 vaccine uptake, health authorities should promote vaccine effectiveness; pro-actively communicate the absence or presence of vaccine side effects; and ensure rapid and wide media communication about local vaccine coverage. (C) 2020 The Author(s). Published by Elsevier Ltd.",,,,"Wang, Jian/AAI-6424-2021","Wang, Jian/0000-0001-8769-7928",,,,,,,,,,,,0264-410X,1873-2518,,,,JAN 8,2021,39,2,,,,,247,254,,10.1016/j.vaccine.2020.12.009,,,,,,,WOS:000604750300013,33328140,,,,,,no (disc choice exp),?,1
J,"Alzaher, OA; Almutairi, GA; AlModhayan, SM; Khojah, AA; Almutairi, GA",,,,"Alzaher, Omaima A.; Almutairi, Ghada A.; AlModhayan, Shahad M.; Khojah, Abdulaziz A.; Almutairi, Ghaida A.",,,Public Attitudes Toward Pediatric Routine Immunization During the COVID-19 Pandemic in Saudi Society,CUREUS,,,,,,,,,,,,"Background Routine vaccines are essential for the well-being of children. Due to the coronavirus disease 2019 (COVID-19) pandemic, some restrictions have been applied in the Kingdom of Saudi Arabia (KSA), causing parental concern about visiting healthcare facilities. Objectives To examine the attitudes and factors that influence parents' decisions regarding their children's vaccination during the COVID-19 pandemic. Methods In this cross-sectional study, 1,704 caregivers from KSA participated. An implemented Arabic questionnaire directed to the caregivers of children at the age of routine immunizations was filled. It included questions on parent demographics, child data, the decision regarding the vaccines, cause-related questions, and the preferred means to receive the vaccines during the COVID-19 pandemic. Results A total of 1,360 participants were included. The majority were from the middle region of KSA. Thirty-nine point five percent (39.5%) of participants chose not to administer the scheduled vaccines to their children, and the main reason was the fear of COVID-19 infection. The main sources of information that encouraged administering the vaccines were the advice of physicians, Saudi Ministry of Health (SMOH) services, 937, and the Sehha application. The majority of the participants chose home immunization visits as the preferred means of vaccination during the COVID-19 pandemic (46.8%). The study showed that approximately 60% of the respondents believed that routine childhood immunizations had no role in spreading the COVID-19 infection, and 59% believed that despite the COVID-19 pandemic, routine childhood vaccines have to be administrated on time. Conclusion The study indicated the negative impact of the COVID-19 pandemic on the compliance of Saudi society toward routine pediatric immunization.",,,,,,,,,,,,,,,,,,2168-8184,,,,SEP 12,2021,13,9,,,,,,,e17899,10.7759/cureus.17899,,,,,,,WOS:000696985800017,34660096,,,,,,yes,500+,9 (non covid-vaccine)
J,"Kawata, K; Nakabayashi, M",,,,"Kawata, Keisuke; Nakabayashi, Masaki",,,Determinants of COVID-19 vaccine preference: A survey study in Japan,SSM-POPULATION HEALTH,,,,,,,,,,,,"Objective: Vaccination is a critical measure for containing the COVID-19 pandemic. We survey the determinants that affect the preference for COVID-19 vaccines in Japan, a vaccine hesitant nation. Setting and design: We conducted a randomized conjoint analysis survey of the preference for vaccines on the Internet by recruiting a nonprobability sample of 15,000 Japanese adults. The survey assigned 5 choice tasks to the respondents. In each task, the respondents evaluated 2 hypothetical COVID-19 vaccines and were asked which they would choose. The vaccine attributes included efficacy, major and minor adverse side effects, country of vaccine development and clinical trial, and vaccine type. Treatment: The choice task asked the participants to select a vaccine from 2 hypothetical vaccines as an optional vaccine or select a vaccine as mandated one with a probability of 0.5 for each. Results: Compared to China-developed vaccines, domestically developed or US-developed vaccines raised the choice probability by 37.3 and 27.4 percentage points, respectively. A domestic clinical trial increased the choice probability by 14.8, an increase in efficacy from 50% to 90% increased that by 18.0, and a decrease in the risk of severe adverse side effects from 1 per 10 thousand to 1 per 1 million increased that by 16.9 percentage points, respectively. The vaccine type was irrelevant. Making vaccination compulsory increased the choice probability of China- and Russia-developed vaccines by 0.6 and 0.4, high-risk vaccines by 0.5, and a modestly effective (70%) vaccine by 0.4 percentage points, respectively. General vaccination hesitancy, political positions, demographic characteristics, education, and income were irrelevant. Conclusions: A domestically developed vaccine with a domestic clinical trial could substantially increase the preference for the vaccine. Making vaccination compulsory could modestly reduce the penalty for a vaccine with adverse side effects, geopolitical, and efficacy concerns, possibly through mitigating free-riding concerns to achieve herd immunity.",,,,,"Nakabayashi, Masaki/0000-0003-1096-1350",,,,,,,,,,,,2352-8273,,,,,SEP,2021,15,,,,,,,,100902,10.1016/j.ssmph.2021.100902,,,,,,,WOS:000697998100084,34458549,,,,,,no (disc choice exp),5000+,1
