Number,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,Early Access Date,UT (Unique WOS ID),Pubmed Id,Survey,N,Relevant,Rel_2
1,"Evans, S.; Klas, A.; Mikocka-Walus, A.; German, B.; Rogers, G. D.; Ling, M.; Fernando, J. W.; Kothe, E.; Westrupp, E. M.",Poison or protection? A mixed methods exploration of Australian parents' COVID-19 vaccination intentions,JOURNAL OF PSYCHOSOMATIC RESEARCH,"Objective: The success of COVID-19 vaccination programs relies on community attitudes, yet little is known about parents' views. We aimed to explore the reasons behind Australian parents' vaccine intentions for themselves and for their children. Method: This mixed methods study relates to Wave 13 (January 2021) of a longitudinal study of Australian parents' experiences during COVID-19 and contained 1094 participants (83% mothers). We used multinomial logistic regression to understand demographic predictors of vaccine intention, and a descriptive template thematic analysis to analyse open-ended questions about parents' reasons for vaccine intentions for themselves and their children. Results: 64% of Australian parents intend on vaccination, 26% are unsure and 9% intend to decline; 48% intend to vaccinate their children, 38% are unsure, and 14% intend to decline. Relative to those intending to vaccinate, parents unsure (OR = -0.63, 95% CI: 0.46, - 0.84, p = .002) or not intending (OR = -0.41, 95% CI: 0.24, 0.67 p < .001) to vaccinate were more likely to have lower trust in doctors. Similar predictors emerged for parents who did not intend to vaccinate their children (OR = 0.47, 95% CI: 0.31, 0.70, p < .001). Qualitative data indicated that many parents had not made a firm decision, including a lack of alignment between intentions and reasons. For example, parents who said 'yes' to vaccination, often then expressed hesitance and a focus on risks in their written response. Reasons for hesitancy for themselves included concerns about testing, side effects, and longterm outcomes. Similar themes were present for children, but parents expressed a strong desire to protect their children, and an eagerness for health information. Conclusion: Based on prior research and the themes identified here, a multipronged campaign that includes education/promotion, good access to vaccines and role models, is likely to support parents to make informed decisions regarding COVID-19 vaccination.",NOV,2021,150,,,WOS:000709745400004,34583017,,,,
2,"Kreps, Sarah; Prasad, Sandip; Brownstein, John S.; Hswen, Yulin; Garibaldi, Brian T.; Zhang, Baobao; Kriner, Douglas L.",Factors Associated With US Adults' Likelihood of Accepting COVID-19 Vaccination,JAMA NETWORK OPEN,"Importance The development of a coronavirus disease 2019 (COVID-19) vaccine has progressed at unprecedented speed. Widespread public uptake of the vaccine is crucial to stem the pandemic. Objective To examine the factors associated with survey participants' self-reported likelihood of selecting and receiving a hypothetical COVID-19 vaccine. Design, Setting, and Participants A survey study of a nonprobability convenience sample of 2000 recruited participants including a choice-based conjoint analysis was conducted to estimate respondents' probability of choosing a vaccine and willingness to receive vaccination. Participants were asked to evaluate their willingness to receive each hypothetical vaccine individually. The survey presented respondents with 5 choice tasks. In each, participants evaluated 2 hypothetical COVID-19 vaccines and were asked whether they would choose vaccine A, vaccine B, or neither vaccine. Vaccine attributes included efficacy, protection duration, major adverse effects, minor adverse effects, US Food and Drug Administration (FDA) approval process, national origin of vaccine, and endorsement. Levels of each attribute for each vaccine were randomly assigned, and attribute order was randomized across participants. Survey data were collected on July 9, 2020. Main Outcomes and Measures Average marginal component effect sizes and marginal means were calculated to estimate the relationship between each vaccine attribute level and the probability of the respondent choosing a vaccine and self-reported willingness to receive vaccination. Results A total of 1971 US adults responded to the survey (median age, 43 [interquartile range, 30-58] years); 999 (51%) were women, 1432 (73%) White, 277 (14%) were Black, and 190 (10%) were Latinx. An increase in efficacy from 50% to 70% was associated with a higher probability of choosing a vaccine (coefficient, 0.07; 95% CI, 0.06-0.09), and an increase from 50% to 90% was associated with a higher probability of choosing a vaccine (coefficient, 0.16; 95% CI, 0.15-0.18). An increase in protection duration from 1 to 5 years was associated with a higher probability of choosing a vaccine (coefficient, 0.05 95% CI, 0.04-0.07). A decrease in the incidence of major adverse effects from 1 in 10000 to 1 in 1000000 was associated with a higher probability of choosing a vaccine (coefficient, 0.07; 95% CI, 0.05-0.08). An FDA emergency use authorization was associated with a lower probability of choosing a vaccine (coefficient, -0.03; 95% CI, -0.04 to -0.01) compared with full FDA approval. A vaccine that originated from a non-US country was associated with a lower probability of choosing a vaccine (China: -0.13 [95% CI, -0.15 to -0.11]; UK: -0.04 [95% CI, -0.06 to -0.02]). Endorsements from the US Centers for Disease Control and Prevention (coefficient, 0.09; 95% CI, 0.07-0.11) and the World Health Organization (coefficient, 0.06; 95% CI, 0.04-0.08), compared with an endorsement from President Trump were associated with higher probabilities of choosing a vaccine. Analyses of participants' willingness to receive each vaccine when assessed individually yielded similar results. An increase in efficacy from 50% to 90% was associated with a 10% higher marginal mean willingness to receive a vaccine (from 0.51 to 0.61). A reduction in the incidence of major side effects was associated with a 4% higher marginal mean willingness to receive a vaccine (from 0.54 to 0.58). A vaccine originating in China was associated with a 10% lower willingness to receive a vaccine vs one developed in the US (from 0.60 to 0.50) Endorsements from the Centers for Disease Control and Prevention and World Health Organization were associated with increases in willingness to receive a vaccine (7% and 6%, respectively) from a baseline endorsement by President Trump (from 0.52 to 0.59 and from 0.52 to 0.58, respectively). Conclusions and Relevance In this survey study of US adults, vaccine-related attributes and political characteristics were associated with self-reported preferences for choosing a hypothetical COVID-19 vaccine and self-reported willingness to receive vaccination. These results may help inform public health campaigns to address vaccine hesitancy when a COVID-19 vaccine becomes available. This survey study evaluates the factors associated with US adults' choice of and willingness to accept a hypothetical COVID-19 vaccine. Question What factors are associated with US adults' choice of and willingness to accept a hypothetical COVID-19 vaccine? Findings In this survey study of a national sample of 1971 US adults, vaccine-related attributes (eg, vaccine efficacy, adverse effects, and protection duration) and political factors (eg, US Food and Drug Administration approval process, national origin of vaccine, and endorsements) were associated with preferences for choosing a hypothetical COVID-19 vaccine. Health care attitudes and practices, political partisanship, and demographic characteristics, including age, sex, and race/ethnicity, were also associated with willingness to receive a vaccination. Meaning The results of this survey study may help inform public health campaigns to address vaccine hesitancy.",OCT 20,2020,3,10,,WOS:000586431300007,33079199,,,,
3,"Sturm, Lynne; Kasting, Monica L.; Head, Katharine J.; Hartsock, Jane A.; Zimet, Gregory D.",Influenza vaccination in the time of COVID-19: A national US survey of adults,VACCINE,"Introduction: Decisions about influenza vaccination for fall-winter 2020 were made against the backdrop of the COVID-19 pandemic. During May 2020, the authors examined intended vaccination in the next 12 months in relationship to demographic variables, healthcare attitudes, and personal COVID-19 experiences for two samples of adults-those who did not receive influenza vaccine during the prior 12 months, and those who did. Methods: In May 2020, a cross-sectional online survey was conducted with a national US sample. Participants reported prior influenza vaccination (yes/no during prior 12 months) and anticipated vaccination (yes/no during next 12 months). Covariates included demographic characteristics (e.g., gender, race-ethnicity, political ideology), general beliefs (e.g., benefits of vaccines, altruistic attitudes), and COVID-19 health beliefs and experiences (COVID-19 worry and severity, perception of COVID-19 as a community threat, knowing someone with COVID-19). For each group, hierarchical multivariable logistic regression was conducted with intent to vaccinate as the outcome. Results: Among participants (n = 3502), 47% did not receive influenza vaccine in the prior 12 months and 53% had; 25.5% of non-vaccinators and 91.9% of vaccinators intended future vaccination. For nonvaccinators, odds of intending vaccination was associated with race/ethnicity (Hispanics were more likely to intend than white-NH; AOR = 1.74; 95% CI = 1.23-2.4), greater perceived benefits of vaccination (AOR = 2.19; 95% CI = 1.88-2.54), and perception of COVID-19 as a community threat (AOR = 1.91; 95% CI = 1.49-2.45). For vaccinators, odds of intending vaccination was associated with age (AOR = 1.04; 95% CI = 1.03-1.05), race/ethnicity (Black-NH and Other-NH were less likely to intend than white-NH, AOR = 0.60; 95% CI = 0.36-0.999; and AOR = 0.45; 95% CI = 0.24-0.84, respectively), greater perceived benefits of vaccination (AOR = 1.88; 95% CI = 1.45-2.45) and greater perception of collective benefits of vaccines (AOR = 1.48; 95% CI = 1.15-1.90). Conclusions: The COVID-19 pandemic may have served as a cue to action for influenza vaccination intention among some prior non-vaccinators whereas intention among prior vaccinators is more related to positive attitudes toward vaccination. (C) 2021 Elsevier Ltd. All rights reserved.",APR 1,2021,39,14,,WOS:000632984100007,33715898,,,,
4,"Khan, Muhammad Danyal","Toward creating equity in access to COVID-19 vaccination for female population in Multan, Punjab, Pakistan",HEALTH CARE FOR WOMEN INTERNATIONAL,"The researchers examined the access to the COVID-19 vaccine among 32 females in Multan, Punjab, Pakistan. The aim of the study is to access the independence of decision-making among female participants to vaccinate themselves against the COVID-19. Participants of the study belong to Multan, a city of Southern Punjab. The researchers adopt a qualitative research design, using in-depth interviews, repeated open-ended questions, and local languages. Among general conclusions of this study are, female dependence on male members to get the vaccination, limited control on deciding the need for vaccination, and patriarchal decision to vaccinate the family. The aim of the researchers is to contribute toward an effective COVID-19 vaccination campaign by minimizing discrimination against women in accessing the vaccine.",,,,,OCT 2021,WOS:000710429100001,34686113,,,,
5,"Huang, Weifeng; Shao, Xiaoping; Wagner, Abram L.; Chen, Yan; Guan, Baichu; Boulton, Matthew L.; Li, Bingzhe; Hu, Linjie; Lu, Yihan","COVID-19 vaccine coverage, concerns, and preferences among Chinese ICU clinicians: a nationwide online survey",EXPERT REVIEW OF VACCINES,"Background Clinicians in intensive care units (ICUs) have been prioritized for COVID-19 vaccination. We aim to understand the reasons behind vaccination refusal, and assess preferences for COVID-19 vaccines among Chinese ICU clinicians. Research design and methods ICU clinicians throughout China's mainland were contacted to participate in an online survey. We compared concerns with vaccination status, and through a discrete choice experiment (DCE) assessed preferences for vaccines in terms of effectiveness, risk of adverse reactions, duration of immunity, and whether coworkers have been vaccinated. Results Among 11,951 ICU respondents from 252 prefecture-level regions, vaccination coverage was 75.4%, with an additional 9.2% not vaccinated but intending to, and 16.1% not vaccinated and not intending to. ICU clinicians not intending to be vaccinated significantly expressed more concerns about the speed of vaccine development (30.1%) and adverse reactions (65.9%). In the DCE, the only significant difference in preferences of a COVID-19 vaccine was for safety, with those not intending to have a stronger preference for a vaccine with fewer adverse reactions (OR = 4.49), compared to those already vaccinated (OR = 2.90) or those intending to vaccinate (OR = 3.46). Conclusion Increasing vaccination coverage among Chinese ICU clinicians will require strong norms surrounding vaccination and transparency about safety information.",,,,,SEP 2021,WOS:000692352300001,34415816,,,,
6,"Ehde, Dawn M.; Roberts, Michelle K.; Humbert, Andrew T.; Herring, Tracy E.; Alschuler, Kevin N.",COVID-19 vaccine hesitancy in adults with multiple sclerosis in the United States: A follow up survey during the initial vaccine rollout in 2021,MULTIPLE SCLEROSIS AND RELATED DISORDERS,"Background: Multiple sclerosis (MS) organizations have recommended that adults with MS obtain the COVID-19 vaccination. Vaccine hesitancy is a barrier to full COVID-19 inoculation in the general population. Whether vaccine hesitancy is also a barrier towards optimizing vaccination rates in the MS community is unknown. To investigate vaccine hesitancy and inform efforts to increase vaccine uptake in the MS population, we conducted a follow up survey of a national sample of adults with MS living in the United States who completed an initial survey early in the COVID-19 pandemic. The current study aimed to answer questions vital to understanding vaccine hesitancy, specifically: (1) What is the prevalence of COVID-19 vaccine hesitancy in early 2021? (2) What are the reasons for and factors associated with current hesitancy? (3) How has vaccine willingness and hesitancy changed from April/May 2020 to January/February 2021? and (4) Who has changed in their vaccine willingness? Methods: Adults with MS living in the United States (N = 359) completed two online surveys (the first between 10 April 2020 and 06 May 2020; the second between 11 January 2021 and 08 February 2021) about their willingness and intent to obtain a COVID-19 vaccine. Participants also completed measures to assess factors potentially related to vaccine hesitancy, including demographics, MS variables, influenza vaccine history, vaccine concerns, and contextual factors, including perceived risk for SARS-CoV-2 infection, trust in COVID-19 information source, anxiety, and loneliness. Results: Of the participants who completed the second survey in early 2021, 20.3% were vaccine hesitant, that is, either reporting that they were undecided (13.9%) or not intending to get vaccinated (6.4%). Vaccine hesitancy decreased between the two surveys, with nearly three-fourths (73.8%) of the second sample reporting that they planned to obtain the COVID-19 vaccine. Vaccine hesitancy was associated with having a lower level of education, being non-White, not having a recent flu vaccination, holding a lower perception of one's risk of getting COVID-19, and having lower trust in the Centers for Disease Control and Prevention. Participants who were vaccine hesitant reported concerns about the long-term effects of the vaccine, the vaccine approval process, and the potential impact of the vaccine given their own health conditions/history. Notably, 90% of the undecided group wanted additional information about the vaccine before deciding. Vaccine willingness changed over time, with many of those who were somewhat willing more willing to get the COVID-19 vaccine at survey 2. Individuals who were unwilling at survey 1 were highly likely to remain unwilling at survey 2. Conclusion: Overall, COVID-19 vaccine hesitancy decreased during the pandemic, although one in five adults with MS were hesitant in early 2021. Of those who were undecided, most indicated that they wanted additional information about the vaccine before deciding whether to be vaccinated, suggesting additional educational efforts on the vaccine's safety, long-term effects, and potential health implications are still needed. Findings indicate that public health efforts may be best focused on those who are undecided, whose vaccine hesitancy may change over time and, possibly, with appropriate information or intervention.",SEP,2021,54,,,WOS:000703863900027,34325399,,,,
7,"Fakonti, Georgia; Kyprianidou, Maria; Toumbis, Giannos; Giannakou, Konstantinos",Attitudes and Acceptance of COVID-19 Vaccination Among Nurses and Midwives in Cyprus: A Cross-Sectional Survey,FRONTIERS IN PUBLIC HEALTH,"Healthcare workers are at the frontline of the COVID-19 pandemic and have been identified as a priority target group for COVID-19 vaccines. This study aimed to determine the COVID-19 vaccination intention among nurses and midwives in Cyprus and reveal the influential factors that affected their decision. An Internet-based cross-sectional survey was conducted between December 8 and 28, 2020. Data collection was accomplished using a self-administered questionnaire with questions about socio-demographic characteristics, questions assessing general vaccination-related intentions and behaviors, and the intention to accept COVID-19 vaccination. A sample of 437 responders answered the survey, with 93% being nurses and 7% midwives. A small proportion of the participants would accept a vaccine against COVID-19, while 70% could be qualified as vaccine hesitant. The main reasons for not receiving the COVID-19 vaccine were concerns about the vaccine's expedited development and fear of side effects. More females, individuals with a larger median age, and a higher number of years of working experience, intended to accept the COVID-19 vaccination, compared with those not intended to accept and undecided groups (p < 0.01). Having a seasonal flu vaccination in the last 5 years, receiving the vaccines recommended for health professionals, and working in the private sector were associated with a higher probability of COVID-19 vaccination acceptance. A considerable rate of nurses and midwives in Cyprus reported unwillingness to receive a COVID-19 vaccine due to vaccine-related concerns. Our findings highlight the need for forthcoming vaccination campaigns and programs to tackle coronavirus vaccine hesitancy barriers to achieve the desirable vaccination coverage.",JUN 16,2021,9,,,WOS:000668123000001,34222170,,,,
8,"Alzaher, Omaima A.; Almutairi, Ghada A.; AlModhayan, Shahad M.; Khojah, Abdulaziz A.; Almutairi, Ghaida A.",Public Attitudes Toward Pediatric Routine Immunization During the COVID-19 Pandemic in Saudi Society,CUREUS,"Background Routine vaccines are essential for the well-being of children. Due to the coronavirus disease 2019 (COVID-19) pandemic, some restrictions have been applied in the Kingdom of Saudi Arabia (KSA), causing parental concern about visiting healthcare facilities. Objectives To examine the attitudes and factors that influence parents' decisions regarding their children's vaccination during the COVID-19 pandemic. Methods In this cross-sectional study, 1,704 caregivers from KSA participated. An implemented Arabic questionnaire directed to the caregivers of children at the age of routine immunizations was filled. It included questions on parent demographics, child data, the decision regarding the vaccines, cause-related questions, and the preferred means to receive the vaccines during the COVID-19 pandemic. Results A total of 1,360 participants were included. The majority were from the middle region of KSA. Thirty-nine point five percent (39.5%) of participants chose not to administer the scheduled vaccines to their children, and the main reason was the fear of COVID-19 infection. The main sources of information that encouraged administering the vaccines were the advice of physicians, Saudi Ministry of Health (SMOH) services, 937, and the Sehha application. The majority of the participants chose home immunization visits as the preferred means of vaccination during the COVID-19 pandemic (46.8%). The study showed that approximately 60% of the respondents believed that routine childhood immunizations had no role in spreading the COVID-19 infection, and 59% believed that despite the COVID-19 pandemic, routine childhood vaccines have to be administrated on time. Conclusion The study indicated the negative impact of the COVID-19 pandemic on the compliance of Saudi society toward routine pediatric immunization.",SEP 12,2021,13,9,,WOS:000696985800017,34660096,,,,
9,"Johnson, Kemmian D.; Akingbola, Oluwatomi; Anderson, Jessica; Hart, Jennifer; Chapple, Andrew; Woods, Che'la; Yeary, Karen; McLean, Angela",Combatting a Twin-demic: A quantitative assessment of COVID-19 and influenza vaccine hesitancy in primary care patients,HEALTH PROMOTION PERSPECTIVES,"Background: Public health officials anticipate severe health outcomes amidst the circulation of two major viruses, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and influenza. This study investigated intent to be vaccinated against COVID-19 and influenza, and sought to identify attitudes towards vaccines and barriers for vaccine acceptance. Methods: This observational cross-sectional study was conducted in the Louisiana State University Medicine Clinic from September 2020 to December 2020. Intent to be vaccinated against the COVID-19 and influenza virus was assessed through a brief questionnaire. Additionally, hesitancy and attitudes regarding vaccines were ascertained using validated 5-point Likert scales. In total, 280 patients completed the questionnaire. Results: A total of 248 patients were included in the final analysis. Overall 167 (67%, 95% CI = 61.1-73.0%) of patients were unsure or did not intend to be vaccinated against COVID-19, while only 19.3% (95% CI = 14.4-24.5%) were unsure or did not intend to be vaccinated against the influenza vaccine. Reasons for COVID-19 vaccine hesitancy included concern regarding side effects, fear of getting sick from the vaccine, and the absence of vaccine recommendations from their doctor. Concerningly, African American patients demonstrated decreased likelihood of receiving the COVID-19 vaccine. Conclusion: This survey revealed that only 1 in 3 adults intended to be vaccinated against COVID-19, while 8 out of 10 adults intended to receive the influenza vaccine. Patients who intended on getting the COVID-19 vaccine were less likely to be African American. Given the degree of hesitancy against COVID-19 vaccination, a multifaceted approach to facilitate vaccine uptake that includes vaccine education, behavioral change strategies, and health promotion, is paramount.",,2021,11,2,,WOS:000654305400008,34195041,,,,
10,"Kawata, Keisuke; Nakabayashi, Masaki",Determinants of COVID-19 vaccine preference: A survey study in Japan,SSM-POPULATION HEALTH,"Objective: Vaccination is a critical measure for containing the COVID-19 pandemic. We survey the determinants that affect the preference for COVID-19 vaccines in Japan, a vaccine hesitant nation. Setting and design: We conducted a randomized conjoint analysis survey of the preference for vaccines on the Internet by recruiting a nonprobability sample of 15,000 Japanese adults. The survey assigned 5 choice tasks to the respondents. In each task, the respondents evaluated 2 hypothetical COVID-19 vaccines and were asked which they would choose. The vaccine attributes included efficacy, major and minor adverse side effects, country of vaccine development and clinical trial, and vaccine type. Treatment: The choice task asked the participants to select a vaccine from 2 hypothetical vaccines as an optional vaccine or select a vaccine as mandated one with a probability of 0.5 for each. Results: Compared to China-developed vaccines, domestically developed or US-developed vaccines raised the choice probability by 37.3 and 27.4 percentage points, respectively. A domestic clinical trial increased the choice probability by 14.8, an increase in efficacy from 50% to 90% increased that by 18.0, and a decrease in the risk of severe adverse side effects from 1 per 10 thousand to 1 per 1 million increased that by 16.9 percentage points, respectively. The vaccine type was irrelevant. Making vaccination compulsory increased the choice probability of China- and Russia-developed vaccines by 0.6 and 0.4, high-risk vaccines by 0.5, and a modestly effective (70%) vaccine by 0.4 percentage points, respectively. General vaccination hesitancy, political positions, demographic characteristics, education, and income were irrelevant. Conclusions: A domestically developed vaccine with a domestic clinical trial could substantially increase the preference for the vaccine. Making vaccination compulsory could modestly reduce the penalty for a vaccine with adverse side effects, geopolitical, and efficacy concerns, possibly through mitigating free-riding concerns to achieve herd immunity.",SEP,2021,15,,,WOS:000697998100084,34458549,,,,
